job_title,company_name,company_location,job_url
b'Junior Data Scientist (m/w/d)',b'SKOPOS',"b'H\xc3\xbcrth, North Rhine-Westphalia, Germany'",b'https://de.linkedin.com/jobs/view/junior-data-scientist-m-w-d-at-skopos-group-3584980365?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=B44guC9Nw%2FQXLUebPOrvJg%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Working Student - AI /ML Engineer (Computer Vision)',b'CODUCT GmbH',b'Germany',b'https://de.linkedin.com/jobs/view/working-student-ai-ml-engineer-computer-vision-at-coduct-gmbh-3589820297?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=kD9HHZIYUw6mZxPzKXxW%2Fw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Developer (f/m/d)',b'IONOS',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-f-m-d-at-ionos-3580613392?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=qsRoY7T4rltKo9THp503sw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Software Developer (Web Development) (all genders)',b'WorkGenius Germany',"b'Hamburg, Hamburg, Germany'",b'https://de.linkedin.com/jobs/view/python-software-developer-web-development-all-genders-at-workgenius-germany-3570051769?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=f%2F%2BQEBls9TSJKFfFxYE90Q%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Software Developer (m/w/d)',b'Positive Thinking Company',"b'Frankfurt, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/python-software-developer-m-w-d-at-positive-thinking-company-3589261541?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=tTXX0XTqM%2BEflztPi4JTCQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Developer (m/w/d)',b'sewts',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-m-w-d-at-sewts-3554155604?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=YSdEoKkQMsZx0XWM8m3IUg%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Developer - Flexible Working Hours (All Genders)',b'The Recruitment 2.0 Group',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-flexible-working-hours-all-genders-at-the-recruitment-2-0-group-3581557992?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=fWRt0D9Jd%2BkzUQfCalVnbg%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Python Software Engineer (w/m/d)',b'Next Kraftwerke',"b'Cologne, North Rhine-Westphalia, Germany'",b'https://de.linkedin.com/jobs/view/python-software-engineer-w-m-d-at-next-kraftwerke-3564915299?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=V8iXGn6pNLi9Wnmc3%2B7FMA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Intermediate Python Specialist (gn) Hamburg o. 100% Remote',b'workidentity GmbH',b'Germany',b'https://de.linkedin.com/jobs/view/intermediate-python-specialist-gn-hamburg-o-100%25-remote-at-workidentity-gmbh-3584980575?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=JN39C5djTgs9DjrYvrBMJA%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Machine Learning Engineers (Computer Vision)',b'Retail Foundation',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/machine-learning-engineers-computer-vision-at-retail-foundation-3589823043?refId=htsStxXZEKbJH7j3xS9ASg%3D%3D&trackingId=J9KWlSfM2oMyQLHMxMhm5g%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card'
